facility_name,street1,city,postal_code,country,latitude,longitude,phone
Fort Greene Health Center,295 Flatbush Avenue Ext.,Brooklyn,11217,,,,
Duane Reade,2864 BROADWAY,NEW YORK,10025,,,,
Duane Reade,1888 WESTCHESTER AVE,BRONX,10472,,,,
Walgreens Drug Store,109-62 Francis Lewis Boulevard,Queens,11429,,,,
CVS,5830 AMBOY RD,STATEN ISLAND,10309,,,,
Duane Reade,41 E 58TH ST,NEW YORK,10022,,,,
CVS,10204 FLATLANDS AVE.,BROOKLYN,11236,,,,
Rite Aid Pharmacy,5901 Bay Parkway,Brooklyn,11204,,,,
Well Care Pharmacy,397 East 167th Street,Bronx,10456,,,,
Jonathan Williams Houses Child Health Center,333 ROEBLING STREET,BROOKLYN,11211,,,,
Duane Reade,105 BRIGHTON BEACH AVE,BROOKLYN,11235,,,,
Rite Aid Pharmacy,2221 65th Street,Brooklyn,11204,,,,
Duane Reade,71 W 23RD ST,NEW YORK,10010,,,,
Rite Aid Pharmacy,45-02  43rd Avenue,Queens,11104,,,,
Rite Aid Pharmacy,195 8th Avenue,Manhattan,10011,,,,
South Queens Community Health Center,114-20 GUY R BREWER BOULEVARD,QUEENS,11434,,,,
Community Care Rx. Inc.,"150-36 Union Trpk,",Flushing,11367,,,,
Fort Greene Child Health Center,295 FLATBUSH AVENUE,BROOKLYN,11201,,,,
Andy Pharmacy ,3750 Broadway,Bronx,10032,,,,
Duane Reade,1749 1ST AVE,NEW YORK,10128,,,,
Duane Reade,2428 BELL BLVD,BAYSIDE,11360,,,,
Duane Reade,1270 BROADWAY,NEW YORK,10001,,,,
Duane Reade,1650 GRAND CONCOURSE,BRONX,10457,,,,
Dale Pharmacy & Surgical,108-13 Jamaica Avenue,Richmond Hill,11418,,,,
Rite Aid Pharmacy,840 Westchester Avenue,Bronx,10459,,,,
Walgreens Drug Store,80-11  Eliot Avenue,Queens,11379,,,,
CVS,2900 VETERANS RD W,STATEN ISLAND,10309,,,,
Rite Aid Pharmacy,160-10 Cross Bay Boulevard,Queens,11414,,,,
AM Pharmacy II,219 Grand Street,Manhattan,10013,,,,
Washington Heights Center,600 WEST 168 STREET,MANHATTAN,10032,,,,
Duane Reade,465 2ND AVE,NEW YORK,10016,,,,
Duane Reade,1 PENN PLZ #0034,NEW YORK,10119,,,,
Rite Aid Pharmacy,1091 Ogden Avenue,Bronx,10452,,,,
Advantagecare Physicans Medical Office,215 EAST 95 STREET,215 EAST 95 STREET,10128,,,,
Walgreens Drug Store,1579 Forest Avenue,Staten Island,10302,,,,
Rite Aid Pharmacy,3480 Jerome Avenue,Bronx,10467,,,,
Rite Aid Pharmacy,158-02 Union Turnpike,Queens,11366,,,,
Duane Reade,721 9TH AVE,NEW YORK,10019,,,,
Eleanor Roosevelt Houses ,388 PULASKI STREET,BROOKLYN,11206,,,,
Advantagecare Physicans Medical Office,169-59 137 AVENUE,169-59 137 AVENUE,11434,,,,
Stop and Shop Pharmacy,74-17 Grand Avenue,Elmhurst,11373,,,,
Walgreens Drug Store,2270 Clove Rd,Staten Island,10305,,,,
Rite Aid Pharmacy,2324 Flatbush Avenue,Brooklyn,11234,,,,
Rite Aid Pharmacy,2155 Third Avenue,Manhattan,10035,,,,
Duane Reade,568 W 125TH ST,NEW YORK,10027,,,,
Farmacia Montrose inc. (Three P Drugs) ,791 Flushing Avenue,Brooklyn,11206,,,,
Duane Reade,100 W 57TH ST,NEW YORK,10019,,,,
Rite Aid Pharmacy,144-29 Northern Blvd,Queens,11354,,,,
Walgreens Drug Store,210 Union Avenue,Brooklyn,11211,,,,
Rite Aid Pharmacy,1849 2nd Avenue,Manhattan,10128,,,,
Rite Aid Pharmacy,47-07 Broadway,Queens,11103,,,,
Duane Reade,609 COLUMBUS AVE,NEW YORK,10024,,,,
CVS,2151 86TH STREET,BROOKLYN,11214,,,,
CVS,341 9TH STREET,BROOKLYN,11215,,,,
Rite Aid Pharmacy,4159 White Plains Road,Bronx,10466,,,,
Inwood Pharmacy,4915 Broadway,Manhattan,10034,,,,
Williamsburg Community Health Center ,279 GRAHAM AVENUE,BROOKLYN,11211,,,,
Walgreens Drug Store,406 East Fordham Road,Bronx,10458,,,,
Rite Aid Pharmacy,82-13  37th Avenue,Queens,11372,,,,
Benjamins Pharmacy (Ardent Pharmacy),989 Allerton Avenue,Bronx,10469,,,,
Rite Aid Pharmacy,119-04 Liberty Ave,Queens,11419,,,,
Walgreens Drug Store,645 Rossville Ave.,Staten Island,10309,,,,
Rite Aid Pharmacy,4 World Financial Center,Manhattan,10281,,,,
Duane Reade,4363 AMBOY RD,STATEN ISLAND,10312,,,,
NYU Hospital Center,530 1st Avenue,Manhattan,10016,,,,
Walgreens Drug Store,285 Kings Highway,Brooklyn,11223,,,,
Gristides Pharmacy,686 N Main Street,Manhattan,10044,,,,
Stop and Shop Pharmacy,691 Co-op City Blvd.,Bronx,10475,,,,
Duane Reade,378 AVENUE OF THE AMERICAS,NEW YORK,10011,,,,
Rite Aid Pharmacy,516 East 14th Street,Manhattan,10009,,,,
Duane Reade,750 NEW YORK AVE,BROOKLYN,11203,,,,
Rite Aid Pharmacy,15-08  College Point Blvd,Queens,11356,,,,
Duane Reade,188 DYCKMAN ST,NEW YORK,10040,,,,
CVS,500 GRAND ST.,NEW YORK,10002,,,,
CVS,51 ASTOR PLACE,NEW YORK,10003,,,,
Rite Aid Pharmacy,1998 Bruckner Blvd,Bronx,10473,,,,
Duane Reade,7301 37TH AVE,JACKSON HEIGHTS,11372,,,,
CVS,1598 FLATBUSH AVE,BROOKLYN,11210,,,,
Emcon Pharmacy,49 5th Avenue,Brooklyn,11217,,,,
Bowen Pharmacy,881 10th Avenue,Manhattan,10019,,,,
Clarkson Pharmacy,524 Clarkson Avenue,Brooklyn,11203,,,,
Duane Reade,33 7TH AVE,NEW YORK,10011,,,,
Rite Aid Pharmacy,45-02  43rd Avenue,Queens,11104,,,,
Saad Pharmacy,87-37 Britton Avenue,Elmhurst,11373,,,,
Rite Aid Pharmacy,2002 Avenue U,Brooklyn,11229,,,,
Walgreens Drug Store,5716 Avenue U,Brooklyn,11234,,,,
Rite Aid Pharmacy,75-75  31st Avenue,Queens,11370,,,,
Advantagecare Physicans Medical Office,96-10 METROPOLITAN AVENUE,96-10 METROPOLITAN AVENUE,11375,,,,
5247 Broadway Drugs Inc (Drug Mart),5203a Broadway,Bronx,10463,,,,
CVS,260 ARDEN AVE.,STATEN ISLAND,10312,,,,
Duane Reade,4318 13TH AVE,BROOKLYN,11219,,,,
Duane Reade,893 MANHATTAN AVE,BROOKLYN,11222,,,,
Advantagecare Physicans Medical Office,215 WEST 125 STREET,215 WEST 125 STREET,10027,,,,
Rite Aid Pharmacy,320 Smith Street,Brooklyn,11231,,,,
Duane Reade,194 E 2ND ST,NEW YORK,10009,,,,
CVS,500 WEST 23RD ST.,NEW YORK,10011,,,,
Duane Reade,575 LEXINGTON AVE,NEW YORK,10022,,,,
Duane Reade,1279 3RD AVE,NEW YORK,10021,,,,
Walgreens Drug Store,1227 Forest Avenue,Staten Island,10310,,,,
Sol's Pharmacy,37-12 108th Street,Corona,11368,,,,
Stop and Shop Pharmacy,625 Atlantic Avenue,Brooklyn,11217,,,,
Duane Reade,460 8TH AVE,NEW YORK,10001,,,,
Duane Reade,161 E 23RD ST,NEW YORK,10010,,,,
CVS,512 NEPTUNE AVENUE,BROOKLYN,11224,,,,
Duane Reade,250 BROADWAY,NEW YORK,10007,,,,
Rite Aid Pharmacy,7 Madison Street,Manhattan,10038,,,,
Grant Houses,3170 BROADWAY,MANHATTAN,10027,,,,
Royal Pharmacy (Preferred Heights Inc.),5030 Broadway,Manhattan,10034,,,,
Hamilton Pharmacy,3293 Broadway,Manhattan,10027,,,,
Rite Aid Pharmacy,39-20  Bell Blvd,Queens,11361,,,,
Walgreens Drug Store,520 Atlantic Avenue,Brooklyn,11217,,,,
Duane Reade,11602 BEACH CHANNEL DR,FAR ROCKAWAY,11694,,,,
Walgreens Drug Store,1847 Rockaway Pky,Brooklyn,11236,,,,
Duane Reade,401 E 86TH ST,NEW YORK,10028,,,,
Duane Reade,46 3RD AVE,NEW YORK,10003,,,,
CVS,75 CHRISTOPHER STREET,NEW YORK,10014,,,,
Rite Aid Pharmacy,3823 Nostrand Avenue,Brooklyn,11235,,,,
Duane Reade,661 8TH AVE,NEW YORK,10036,,,,
Duane Reade,333 7TH AVE,NEW YORK,10001,,,,
Duane Reade,1091 LEXINGTON AVE,NEW YORK,10075,,,,
Duane Reade,196 3RD AVE,NEW YORK,10003,,,,
Rite Aid Pharmacy,6423 Fort Hamilton Parkway,Brooklyn,11219,,,,
Rite Aid Pharmacy,1360 Hylan Blvd,Staten Island,10305,,,,
Cureways Pharmacy ,2201 Amsterdam Avenue,Manhattan,10032,,,,
Walgreens Drug Store,9408 3rd Avenue,Brooklyn,11209,,,,
CVS,150 COURT STREET,BROOKLYN,11201,,,,
CVS,395 COURT STREET,BROOKLYN,11231,,,,
CVS,129 FULTON STREET,NEW YORK,10038,,,,
CVS,475 6TH AVE.,NEW YORK,10011,,,,
Walgreens Drug Store,119-02  Rockaway Boulevard,Queens,11420,,,,
Duane Reade,250 W 57TH ST,NEW YORK,10107,,,,
CVS,20 UNIVERSITY PLACE,NEW YORK,10003,,,,
CVS,519 GATEWAY DR,BROOKLYN,11239,,,,
Duane Reade,25709 UNION TPKE,GLEN OAKS,11004,,,,
Walgreens Drug Store,1409 Avenue J,Brooklyn,11230,,,,
Walgreens Drug Store,350 5th Avenue,Manhattan,10001,,,,
Rite Aid Pharmacy,96-02  Rockaway Blvd,Queens,11417,,,,
Walgreens Drug Store,219-14 Merrick Boulevard,Queens,11413,,,,
Mobile Medical Office 2,285 VANDERBILT AVENUE,STATEN ISLAND,10304,,,,
Lincoln Care Drugs,270 East 165th Street,Bronx,10456,,,,
Walgreens Drug Store,4401 White Plains Rd,Bronx,10470,,,,
North Central Bronx Hospital,3424 KOSSUTH AVENUE,BRONX,10467,,,,
Woodside Medical Center,50-53 NEWTOWN ROAD,QUEENS,11377,,,,
East NY ACT Program,2619A ATLANTIC AVENUE,BROOKLYN,11207,,,,
Walgreens Drug Store,2590 Coney Island Avenue,Brooklyn,11223,,,,
Duane Reade,17 JOHN ST,NEW YORK,10038,,,,
Advantagecare Physicans Medical Office,3245 NOSTRAND AVENUE,3245 NOSTRAND AVENUE,11229,,,,
Rite Aid Pharmacy,542 Second Avenue,Manhattan,10016,,,,
Duane Reade,358 5TH AVE,NEW YORK,10001,,,,
Walgreens Drug Store,532 Neptune Avenue,Brooklyn,11224,,,,
Century Pharmacy (RDS Pharmacy),225 Madison Street,Manhattan,10002,,,,
Duane Reade,100 DELANCEY ST,NEW YORK,10002,,,,
San Pedro Pharmacy,1381 St. Nicholas Avenue,Manhattan,10033,,,,
Smile Pharmacy,150-07 Northern Blvd,Flushing,11354,,,,
Duane Reade,3225 3RD AVE,BRONX,10451,,,,
Rite Aid Pharmacy,592 East 183rd Street,Bronx,10458,,,,
Duane Reade,1 REMSEN AVE,BROOKLYN,11212,,,,
Rite Aid Pharmacy,49 West Fordham Road,Bronx,10468,,,,
Duane Reade,1417 AVENUE U,BROOKLYN,11229,,,,
Rite Aid Pharmacy,55-60  Myrtle Avenue,Queens,11385,,,,
CVS,640 ARTHUR KILL ROAD,STATEN ISLAND,10308,,,,
Rite Aid Pharmacy,91-08  Roosevelt Avenue,Queens,11372,,,,
Stop and Shop Pharmacy,92-10 Atlantic Avenue,OZONE PARK,11416,,,,
Rite Aid Pharmacy,901 East Gun Hill Road,Bronx,10469,,,,
CVS,1172 THIRD AVE.,NEW YORK,10065,,,,
Duane Reade,525 FASHION AVE,NEW YORK,10018,,,,
Walgreens Drug Store,14-01  College Point Boulevard,Queens,11356,,,,
Walgreens Drug Store,2101 Church Avenue,Brooklyn,11226,,,,
Corona Medical Center,104-04 CORONA AVENUE,QUEENS,11368,,,,
Manson Pharmacy,137-69 Queens Blvd.,Blairwood,11435,,,,
Walgreens Drug Store,5564 Broadway,Bronx,10463,,,,
Walgreens Drug Store,127-04 Guy R. Brewer Boulevard,Queens,11434,,,,
Rite Aid Pharmacy,5825 Broadway,Bronx,10463,,,,
Walgreens Drug Store,114 Beverly Road,Brooklyn,11218,,,,
St. Nicholas Houses,281 WEST 127 STREET,MANHATTAN,10027,,,,
Broadway Drugs,3408 Broadway,Astoria,11106,,,,
CVS,540 AMSTERDAM AVENUE,NEW YORK,10024,,,,
Duane Reade,769 BROADWAY,NEW YORK,10003,,,,
Duane Reade,700 COLUMBUS AVE,NEW YORK,10025,,,,
Walgreens Drug Store,145-80 Farmers Blvd.,Queens,11434,,,,
Walgreens Drug Store,93-04 Astoria Boulevard,Queens,11369,,,,
Goldbergers Pharmacy,1200 1st Avenue,Manhattan,10065,,,,
Advantagecare Physicans Medical Office,125-06 101 AVENUE,125-06 101 AVENUE,11419,,,,
Drew Hamilton Houses,2698 8 AVENUE,MANHATTAN,10030,,,,
Rite Aid Pharmacy,4188 Broadway,Manhattan,10033,,,,
Duane Reade,44 COURT ST,BROOKLYN,11201,,,,
Walgreens Drug Store,570 Tompkins Ave,Staten Island,10305,,,,
"I and S Drug Streetores, Inc.",1994 Third Avenue,Manhattan,10029,,,,
Rite Aid Pharmacy,85-10  Northern Boulevard,Queens,11372,,,,
Mega Aid Pharmacy I,1013 Broadway,Brooklyn,11221,,,,
Punjab Pharmacy,1018 Coney Island Avenue,Brooklyn,11230,,,,
Costco Pharmacy,2795 Richmond Avenue,Staten Island,10314,,,,
Rite Aid Pharmacy,7501 5th Avenue,Brooklyn,11209,,,,
Dr. Susan Smith McKinney Nursing & Rehab,594 ALBANY AVENUE,BROOKLYN,11203,,,,
CVS,1249 NOSTRAND AVENUE,BROOKLYN,11225,,,,
B&T West Brighton Pharmacy,702 Castleton Avenue,Staten Island,10310,,,,
GST Pharmacy ,669 Grand Street,Brooklyn,11211,,,,
Rite Aid Pharmacy,723 Manhattan Avenue,Brooklyn,11222,,,,
Bellevue Hospital,462 1 AVENUE,MANHATTAN,10016,,,,
Rite Aid Pharmacy,162-19 Hillside Avenue,Queens,11432,,,,
Rite Aid Pharmacy,32 East 170th Street,Bronx,10452,,,,
Duane Reade,2760-62 BROADWAY,NEW YORK,10025,,,,
Living Well Pharmacy,3555 Victory Blvd.,Staten Island,10314,,,,
CVS,2495 BROADWAY,NEW YORK,10025,,,,
CVS,500 W. 42ND ST.,NEW YORK,10036,,,,
CVS,1933 VICTORY BLVD.,STATEN ISLAND,10314,,,,
Advantagecare Physicans Medical Office,86-15 QUEENS BOULEVARD,86-15 QUEENS BOULEVARD,11373,,,,
Duane Reade,24946 HORACE HARDING EXPY,DOUGLASTON,11362,,,,
Rite Aid Pharmacy,524 Second Avenue,Manhattan,10016,,,,
Rite Aid Pharmacy,408 Grand Street,Manhattan,10002,,,,
CVS,2014 CROPSEY AVENUE,BROOKLYN,11214,,,,
Lincoln Hospital,234 EAST 149 STREET,BRONX,10451,,,,
Rite Aid Pharmacy,95-14  63rd Drive,Queens,11374,,,,
Rite Aid Pharmacy,741 Columbus Avenue,Manhattan,10025,,,,
Duane Reade,1479 3RD AVE,NEW YORK,10028,,,,
Duane Reade,9511 63RD DR,REGO PARK,11374,,,,
Rite Aid Pharmacy,249 7th Avenue,Brooklyn,11215,,,,
Duane Reade,2456 RICHMOND AVE,STATEN ISLAND,10314,,,,
Duane Reade,617 W 181ST ST,NEW YORK,10033,,,,
Rite Aid Pharmacy,40-16  National Street,Queens,11368,,,,
Walgreens Drug Store,33 East 23rd Street,Manhattan,10010,,,,
Advantagecare Physicans Medical Office,590 FIFTH AVENUE,590 FIFTH AVENUE,10036,,,,
MedStop Pharmacy & Surgical Supplies,1330 Jerome Avenue,Bronx,10452,,,,
Williamsburg Child Health Center ,279 GRAHAM AVENUE,BROOKLYN,11211,,,,
Rite Aid Pharmacy,2819 Church Avenue,Brooklyn,11226,,,,
CVS,3125 BAINBRIDGE AVENUE,BRONX,10467,,,,
Advantagecare Physicans Medical Office,233 NOSTRAND AVENUE,233 NOSTRAND AVENUE,11205,,,,
Duane Reade,8002 KEW GARDENS RD,KEW GARDENS,11415,,,,
Rite Aid Pharmacy,90-01  Sutphin Blvd,Queens,11435,,,,
Rite Aid Pharmacy,4368 Amboy Road,Staten Island,10312,,,,
Rite Aid Pharmacy,1559 Flatbush Avenue,Brooklyn,11210,,,,
Advantagecare Physicans Medical Office,1050 CLOVE ROAD,1050 CLOVE ROAD,10301,,,,
CVS,320 FIFTH AVENUE,NEW YORK,10001,,,,
Walgreens Drug Store,946 Kings Highway,Brooklyn,11223,,,,
Walgreens Drug Store,6628 18th Avenue,Brooklyn,11204,,,,
Walgreens Drug Store,1820 Williamsbridge Rd.,Bronx,10461,,,,
Rite Aid Pharmacy,302 Church Avenue,Brooklyn,11218,,,,
Five Star Pharmacy,1200 Fulton Street,Brooklyn,11216,,,,
Victor Pharmacy,662 Morris Park Avenue,Bronx,10462,,,,
Rite Aid Pharmacy,960 Halsey Street,Brooklyn,11233,,,,
CVS,411 DITMAS AVENUE,BROOKLYN,11218,,,,
Dermer Pharmacy ,2064 Flatbush Avenue,Brooklyn,11234,,,,
Super Health Pharmacy,6400 Amboy Road,Staten Island,10309,,,,
Rite Aid Pharmacy,3012 3rd Avenue,Bronx,10455,,,,
Family Pharmacy,440 Rockaway Avenue,Brooklyn,11212,,,,
"Morami Pharmacy, Inc",144-73 Northern Blvd.,Flushing,11354,,,,
Rite Aid Pharmacy,37-32  82nd Street,Queens,11372,,,,
Rite Aid Pharmacy,2981 Ocean Avenue,Brooklyn,11235,,,,
Horizon Pharmacy III (NY81 LLC),81-14 Broadway,Elmhurst,11373,,,,
CVS,1 COLUMBUS PLACE,NEW YORK,10019,,,,
Rite Aid Pharmacy,110-88 Queens Blvd,Queens,11375,,,,
Walgreens Drug Store,1366 Broadway,Brooklyn,11221,,,,
CVS,1361 HYLAN BLVD.,STATEN ISLAND,10305,,,,
Rite Aid Pharmacy,546 West 207th Street,Manhattan,10034,,,,
CVS,1500 LEXINGTON AVE.,NEW YORK,10029,,,,
Stop and Shop Pharmacy,961 East Street 174TH Street,Bronx,10460,,,,
Duane Reade,40 WALL ST,NEW YORK,10005,,,,
Rite Aid Pharmacy,106-40 Rockaway Beach Blvd,Queens,11694,,,,
Harlem Hospital,506 LENOX AVENUE,MANHATTAN,10037,,,,
C.O. Bigelow Chemists,414 Sixth Avenue,Manhattan,10011,,,,
CVS,200 WEST END AVENUE,MANHATTAN,10023,,,,
Echo Drugs,260 Broadway,Brooklyn,11211,,,,
CVS,1346 PENNSYLVANIA AVENUE,BROOKLYN,11239,,,,
Walgreens Drug Store,713 Brighton Beach Avenue,Brooklyn,11235,,,,
Norwood Recall Drugs,3138 Fulton Street,Brooklyn,11208,,,,
Duane Reade,559 FULTON ST,BROOKLYN,11201,,,,
Duane Reade,380 AMSTERDAM AVE,NEW YORK,10024,,,,
Rite Aid Pharmacy,642 Wectshester Ave,Bronx,10455,,,,
Walgreens Drug Store,104-25 Queens Boulevard,Queens,11375,,,,
CVS,30 FLATBUSH AVE.,BROOKLYN,11217,,,,
Walgreens Drug Store,58-02  Metropolitan Avenue,Queens,11385,,,,
Healthmax Pharmacy-Fifth Avenue,53-13 5th Avenue,Brooklyn,11217,,,,
Tisane Pharmacy,340 East 86th Street,Manhattan,10028,,,,
Rite Aid Pharmacy,501 6th Avenue,Manhattan,10011,,,,
Duane Reade,2522 BROADWAY,NEW YORK,10025,,,,
Duane Reade,3155 AMBOY RD,STATEN ISLAND,10306,,,,
Walgreens Drug Store,1281 Fulton Street,Brooklyn,11216,,,,
Duane Reade,1889 BROADWAY,NEW YORK,10023,,,,
Duane Reade,320 W 145TH ST,NEW YORK,10039,,,,
Walgreens Drug Store,1471 Broadway,Manhattan,10036,,,,
Triangle Pharamcy,119-01 Jamaica Avenue,Richmond Hill,11418,,,,
Duane Reade,401 PARK AVE S,NEW YORK,10016,,,,
Duane Reade,619 9TH AVE,NEW YORK,10036,,,,
Rite Aid Pharmacy,43-02  Ditmars Blvd,Queens,11105,,,,
Duane Reade,58 E FORDHAM RD,BRONX,10468,,,,
Ida G. Israel Community Health Center,2925 WEST 19 STREET,BROOKLYN,11224,,,,
Duane Reade,4721 16TH AVE,BROOKLYN,11204,,,,
Rite Aid Pharmacy,8222 18th avenue,Brooklyn,11214,,,,
Duane Reade,164 KENT AVE,BROOKLYN,11249,,,,
Rite Aid Pharmacy,36-01  Broadway,Queens,11106,,,,
CVS,8430 NEW UTRECHT AVE.,BROOKLYN,11214,,,,
Lafayette Houses Child Health Center,434 DEKALB AVENUE,BROOKLYN,11205,,,,
Duane Reade,3387 BROADWAY,NEW YORK,10031,,,,
CVS,4901 KINGS HIGHWAY,BROOKLYN,11234,,,,
Icon Pharmacy,4173B Bowne Street,Flushing,11355,,,,
Artis Drugs,80-02 Eliot Avenue,Middle Village,11379,,,,
